,Account:,DEMOCO-4052522627725700,,,,,,,,,,,,,
,Date Range:,From : 01/01/2014,To : 28/01/2015,,,,,,,,,,,,
,,,,,,Gross,Net,VAT,Gross,Net,VAT,,This is sales invoice number,This is the 'real world code' == nominal code,Notes
Date,Description,Bank Reference,Customer Reference,Additional Information,VAT?,Credit,,,Debit,,,Running Balance ,What are these?,What are these?,
,,,,OPENING BALANCE,,,,,,,,4994.08,,,
28/01/2014,Direct Debit,10219620,BT - British Telecom,SERIAL NO - 40401608,Y,,,,343.1094,285.9245,57.1849,4650.9706,,Phone and Broadband,test notes
05/02/2014,Bank Credit Interest,000176,-,,N,0.3564,0.3564,,,,,4651.327,,Bank Credit Interest,
05/02/2014,Direct Debit,549708518364703,H&R Insurance brokers,SERIAL NO – 62894376,Y,,,,65,54.16666667,10.83333333,4586.327,,Insurance,
06/02/2014,Purchase,4313673547906849 CARD,6849 MICRO-SUPPLIE,,Y,,,,1278.2,1065.166667,213.0333333,3308.127,,Computer / IT Equipment,
07/02/2014,Standing Order,659342635,HMRC VAT,SERIAL NO - 659342,N,,,,4720.076,4720.076,,-1411.949,,HMRC VAT,
07/02/2014,Faster Payment,ICELAND LTD,ICELAND LTD,ORIGINATING ACCOUNT – 12887935672154,Y,418.8204,349.017,69.8034,0,0,0,-993.1286,Ref: 00690242,Invoice Payment,
07/02/2014,Faster Payment,ICELAND LTD,ICELAND LTD,ORIGINATING ACCOUNT – 12887935672154,Y,13673.5352,11394.61267,2278.922533,0,0,0,12680.4066,Ref: 00690241,Invoice Payment,
11/02/2014,Transfer,Expense,Employee 001,BENEFICIARY ACCOUNT – 79451758165948,N,,,,8.26,8.26,,12672.1466,,Expenses / Payment to 'me',
11/02/2014,Transfer,Salary,Employee 001,BENEFICIARY ACCOUNT – 79451758165948,N,,,,1750,1750,,10922.1466,,Expenses / Payment to 'me',
17/02/2014,Faster Payment,Ref: 00690243,ARQIVA,ORIGINATING ACCOUNT – 81795651557459,Y,6280.56,5233.8,1046.76,,,,17202.7066,Ref: 00690243,Invoice Payment,
17/02/2014,Purchase,4313673547906849 CARD,6849 PAYPAL *SMART,,Y,,,,52.6264,43.85533333,8.771066667,17150.0802,,Website hosting / domain renewals,
19/02/2014,Transfer,Expense,Employee 001,BENEFICIARY ACCOUNT – 79451758165948,N,,,,283.152,283.152,,16866.9282,,Expenses / Payment to 'me',
24/02/2014,Purchase,4313673547906849 CARD,6849 P.C. SECURE LTD,,Y,,,,102.78378,85.65315,17.13063,16764.14442,,Computer / IT Equipment / Components / Software / Licences / Tools,
27/02/2014,Direct Debit,425720864055370406,Vodafone,SERIAL NO - 517245,Y,,,,106.8336,89.028,17.8056,16657.31082,,Mobile Phone,
28/02/2014,Purchase,4313673547906849 CARD,6849 P.C. SECURE LTD,,Y,,,,245.2131,204.34425,40.86885,16412.09772,,Computer / IT Equipment / Components / Software / Licences / Tools,
03/03/2014,Purchase,4313673547906849 CARD,6849 COMPANIES HOU,,N,,,,13,13,,16399.09772,,Companies House,
03/03/2014,Direct Debit,549708518364703,H&R Insurance brokers,SERIAL NO – 62894376,Y,,,,65,54.16666667,10.83333333,16334.09772,,Insurance,
03/03/2014,Direct Debit,10219620,BT - British Telecom,SERIAL NO - 40401608,Y,,,,190.4358,158.6965,31.7393,16208.66192,,Phone and Broadband,
04/03/2014,Own Account Credit,,,,Y,907.764,756.47,151.294,,,,17116.42592,Ref: 00690236,Invoice Payment,
05/03/2014,Bank Credit Interest,000176,-,,N,0.4653,0.4653,,,,,17116.89122,,Bank Credit Interest,
